Year,South Korea,Spain,USA,Australia,Greece,China,UK,Brazil,Total,City,Country
1988,4.5,0.5,12.7,1.9,0.1,3.8,3.2,0.8,27.6,Seoul,South Korea
1992,3.6,2.7,13.3,3.3,0.2,6.6,2.5,0.4,32.5,Barcelona,Spain
1996,3.2,2,12,4.9,1,5.9,1.8,1.8,32.5,Atlanta,USA
2000,3,1.2,10,6.3,1.4,6.3,3,1.3,32.5,Sydney,Australia
2004,3.2,2.2,10.9,5.4,1.7,6.8,3.2,1.1,34.5,Athens,Greece
2008,3.3,2,11.7,4.8,0.3,10.4,5.3,1.8,39.7,Beijing,China
2012,3.1,2,10.8,3.6,0.2,9.5,6.8,1.8,37.8,London,United Kingdom
2016,2.2,1.7,12.4,3,0.6,7.2,6.9,2,36,Rio de Janeiro,Brazil
Average 1988-2016,3.3,1.8,11.7,4.1,0.7,7.1,4.1,1.4,34.1,N/A,N/A
Year of Hosting,4.5,2.7,12,6.3,1.7,10.4,6.8,2,46.3,N/A,N/A
Next Games After Hosting,3.6,2,10,5.4,0.3,9.5,6.9,0,37.7,N/A,N/A
